$FrameId	Forward	Reverse	For-Rev	Rxn Probabilities
PFKh	0.9999964899999989	1.0	-3.510000001094582e-06	-4.444673142258048e-09
BFBPh	0.0	0.0	0.0	0.0
FBAF	0.6726657329999999	1.4866190499999998	-0.813953317	-0.001030699842163409
TPI	1.4866190999999997	0.6726657159999998	0.813953384	0.001030699927004748
G6PIh	158.340373	0.0063153716999999965	158.3340576283	0.20049661915264474
PGKm	0.007911056090000002	126.40498999999998	-126.39707894390999	-0.16005518571700098
PGM	0.007946203139999998	125.84628	-125.83833379686	-0.1593476530823327
ENOf	125.84575400000001	0.007946236570000001	125.83780776343	0.1593469869721739
PYKf	125.84573200000001	0.007946212940000003	125.83778578706001	0.1593469591437461
PDHm	125.84433600000003	0.00794602068	125.83638997932003	0.1593451916482556
CS	8.135525899999989e-09	5.662863540000002e-11	8.078897264599988e-09	1.0230215863199933e-11
ACONITATEHYDR__RXN	1.32381091e-40	1.32381091e-40	0.0	0.0
ICDHxm	0.0	0.0	0.0	0.0
ISOCIT__CLEAV__RXN	1.2535216599999994e-40	3.32824298e-48	1.2535216267175696e-40	1.587320201075142e-43
MALSp	3.996014900000001e-24	8.026086419999998e-33	3.996014891973914e-24	5.060108279453262e-27
OXGDC	8.931871330000005e-20	8.931871510000004e-20	-1.799999993670876e-27	-2.2793195514070366e-30
AKGDm	4.719264629999998e-08	3.1297576599999995e-16	4.7192645987024214e-08	5.975951169948915e-11
SUCOAS	1.796512089999999e-08	1.79769421e-08	-1.182120000000955e-11	-1.496905131991978e-14
SUCD1m	6.896920960000001e-13	6.90006735e-13	-3.146389999999291e-16	-3.9842379269815026e-19
FUMm	4.77308971e-17	3.591115609999999e-16	-3.113806638999999e-16	-3.9429779869607364e-19
MDHm	3.564548640000002e-19	3.11737118e-16	-3.11380663136e-16	-3.9429779772862924e-19
G6PDH2r	0.9995928000000012	0.9995928000000012	0.0	0.0
PGLh	0.999995400000002	0.999995400000002	0.0	0.0
PGDHh	0.6525036000000012	0.6525036000000012	0.0	0.0
RPEh	0.0	0.0	0.0	0.0
RPI	0.0	0.0	0.0	0.0
